2023-05-23 22:32:09 Debug: Notice (8): Undefined index: passsword_confirmation in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\models\user.php, line 53]
2023-05-23 22:53:39 Debug: Notice (8): Undefined index: passsword_confirmation in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\models\user.php, line 53]
2023-05-23 23:19:10 Debug: Notice (8): Undefined property: UsersController::$request in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\controllers\users_controller.php, line 20]
2023-05-24 18:21:18 Debug: Notice (8): Undefined index: Users in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\models\user.php, line 81]
2023-05-24 19:00:12 Debug: Notice (8): Undefined index: Users in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\models\user.php, line 81]
2023-05-24 19:10:49 Debug: Notice (8): Undefined index: Users in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\models\user.php, line 81]
2023-05-24 19:33:53 Debug: Notice (8): Undefined index: Users in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\models\user.php, line 81]
2023-05-24 21:08:08 Debug: Notice (8): Undefined variable: passss in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\views\users\login.ctp, line 8]
2023-05-24 21:08:30 Debug: Notice (8): Undefined variable: passss in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\views\users\login.ctp, line 8]
2023-05-24 21:08:45 Debug: Notice (8): Undefined variable: passss in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\views\users\login.ctp, line 8]
2023-05-24 21:09:10 Debug: Notice (8): Undefined variable: passss in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\views\users\login.ctp, line 8]
2023-05-24 21:13:49 Debug: Notice (8): Undefined variable: logged_in in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\views\layouts\default.ctp, line 53]
2023-05-24 23:36:28 Debug: Notice (8): Undefined variable: data in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\models\user.php, line 100]
2023-05-24 23:54:22 Debug: Notice (8): Undefined variable: data in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\models\user.php, line 100]
2023-05-24 23:59:58 Debug: Notice (8): Undefined property: View::$Auth in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\views\layouts\default.ctp, line 53]
2023-05-25 00:02:57 Debug: Notice (8): Undefined property: View::$Auth in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\views\layouts\default.ctp, line 54]
2023-05-25 00:29:13 Debug: Notice (8): Undefined variable: logged_in in [C:\Users\Ian Sanchez\AppData\Local\Programs\Xampp\htdocs\cakeauth\views\layouts\default.ctp, line 53]
